day,x,y,z
278,1.4120898183178125E12,-8.886692895847395E11,1.6550570064689966E7
279,1.4175605188025276E12,-8.914838983660742E11,1.657514322277826E7
280,1.4230309198029102E12,-8.942983193298499E11,1.6599713881025154E7
281,1.428501023439056E12,-8.971125539335865E11,1.662428205712986E7
282,1.4339708318086392E12,-8.999266036179364E11,1.6648847768629236E7
283,1.439440346987227E12,-9.027404698069423E11,1.667341103289785E7
284,1.444909571028589E12,-9.055541539082921E11,1.6697971867148103E7
285,1.4503785059650005E12,-9.083676573135682E11,1.6722530288430393E7
286,1.4558471538075408E12,-9.11180981398492E11,1.6747086313633323E7
287,1.4613155165463872E12,-9.13994127523163E11,1.6771639959483953E7
288,1.4667835961511033E12,-9.168070970322955E11,1.6796191242548093E7
289,1.4722513945709216E12,-9.19619891255449E11,1.682074017923064E7
290,1.4777189137350227E12,-9.224325115072544E11,1.6845286785775963E7
291,1.483186155552808E12,-9.252449590876373E11,1.6869831078268293E7
292,1.4886531219141702E12,-9.280572352820359E11,1.6894373072632197E7
293,1.494119814689756E12,-9.30869341361615E11,1.6918912784633063E7
294,1.4995862357312283E12,-9.33681278583477E11,1.6943450229877617E7
295,1.5050523868715198E12,-9.364930481908682E11,1.6967985423814487E7
296,1.5105182699250852E12,-9.39304651413381E11,1.699251838173479E7
297,1.515983886688149E12,-9.421160894671536E11,1.7017049118772753E7
298,1.521449238938947E12,-9.44927363555065E11,1.7041577649906375E7
299,1.5269143284379673E12,-9.477384748669269E11,1.7066103989958096E7
300,1.5323791569281833E12,-9.505494245796725E11,1.709062815359552E7
301,1.5378437261352866E12,-9.533602138575409E11,1.711515015533213E7
302,1.543308037767913E12,-9.561708438522594E11,1.7139670009528074E7
303,1.5487720935178674E12,-9.589813157032216E11,1.7164187730390936E7
304,1.5542358950603428E12,-9.617916305376627E11,1.7188703331976548E7
305,1.559699444054137E12,-9.646017894708322E11,1.7213216828189816E7
306,1.5651627421418657E12,-9.674117936061624E11,1.723772823278558E7
307,1.570625790950172E12,-9.702216440354349E11,1.726223755936947E7
308,1.5760885920899329E12,-9.730313418389441E11,1.7286744821398817E7
309,1.5815511471564604E12,-9.758408880856572E11,1.7311250032183535E7
310,1.5870134577297031E12,-9.786502838333721E11,1.733575320488706E7
311,1.5924755253744414E12,-9.814595301288722E11,1.7360254352527272E7
312,1.5979373516404812E12,-9.842686280080786E11,1.7384753487977467E7
313,1.6033989380628435E12,-9.870775784962E11,1.7409250623967305E7
314,1.6088602861619521E12,-9.89886382607879E11,1.7433745773083787E7
315,1.614321397443818E12,-9.926950413473376E11,1.7458238947772253E7
316,1.61978227340022E12,-9.955035557085187E11,1.748273016033737E7
317,1.6252429155088835E12,-9.983119266752255E11,1.750721942294414E7
318,1.6307033252336567E12,-1.0011201552212593E12,1.7531706747618917E7
319,1.6361635040246829E12,-1.0039282423105542E12,1.7556192146250434E7
320,1.6416234533185708E12,-1.0067361888973098E12,1.7580675630590823E7
321,1.647083174538563E12,-1.009543995926122E12,1.760515721225666E7
322,1.6525426690946997E12,-1.0123516643321105E12,1.762963690272999E7
323,1.6580019383839827E12,-1.0151591950410458E12,1.76541147133594E7
324,1.6634609837905342E12,-1.0179665889694729E12,1.767859065536103E7
325,1.6689198066857551E12,-1.0207738470248333E12,1.7703064739819653E7
326,1.6743784084284805E12,-1.0235809701055848E12,1.7727536977689717E7
327,1.6798367903651313E12,-1.0263879591013202E12,1.7752007379796393E7
328,1.6852949538298662E12,-1.0291948148928824E12,1.7776475956836645E7
329,1.690752900144729E12,-1.0320015383524796E12,1.7800942719380274E7
330,1.696210630619795E12,-1.034808130343797E12,1.7825407677870978E7
331,1.7016681465533145E12,-1.0376145917221075E12,1.7849870842627406E7
332,1.7071254492318552E12,-1.0404209233343807E12,1.7874332223844208E7
